iter	Passed	Remaining
0	62	62536
1	71	35676
2	73	24398
3	74	18574
4	75	15013
5	76	12601
6	76	10887
7	77	9613
8	78	8636
9	79	7846
10	80	7214
11	81	6685
12	81	6213
13	82	5811
14	83	5458
15	83	5147
16	84	4876
17	84	4633
18	85	4412
19	86	4234
20	87	4088
21	88	3931
22	89	3781
23	90	3661
24	90	3534
25	91	3415
26	91	3305
27	92	3223
28	93	3145
29	94	3062
30	95	2985
31	96	2907
32	96	2834
33	97	2766
34	99	2752
35	100	2696
36	101	2637
37	101	2581
38	102	2529
39	103	2486
40	105	2465
41	107	2440
42	108	2409
43	108	2366
44	109	2323
45	110	2292
46	118	2399
47	120	2393
48	121	2366
49	122	2335
50	123	2305
51	124	2272
52	125	2242
53	126	2210
54	126	2179
55	127	2149
56	128	2126
57	129	2103
58	130	2080
59	131	2053
60	131	2028
61	132	2002
62	132	1977
63	133	1952
64	134	1934
65	136	1926
66	137	1912
67	138	1892
68	138	1873
69	139	1852
70	140	1840
71	141	1823
72	142	1804
73	142	1786
74	143	1768
75	144	1752
76	144	1736
77	145	1720
78	148	1735
79	150	1734
80	154	1749
81	155	1742
82	157	1736
83	158	1723
84	158	1711
85	159	1696
86	160	1682
87	161	1669
88	161	1655
89	162	1642
90	163	1633
91	164	1625
92	165	1614
93	166	1601
94	166	1588
95	167	1578
96	168	1566
97	168	1555
98	169	1543
99	170	1531
100	170	1519
101	171	1507
102	172	1503
103	173	1492
104	174	1486
105	175	1480
106	176	1471
107	176	1460
108	177	1450
109	178	1441
110	179	1433
111	179	1424
112	180	1416
113	183	1425
114	184	1417
115	184	1409
116	185	1398
117	185	1389
118	186	1380
119	187	1371
120	187	1365
121	188	1355
122	188	1347
123	189	1339
124	190	1330
125	190	1322
126	191	1313
127	191	1305
128	192	1298
129	193	1292
130	197	1307
131	197	1300
132	198	1294
133	199	1286
134	201	1288
135	203	1293
136	204	1287
137	205	1280
138	205	1273
139	207	1274
140	208	1271
141	209	1263
142	209	1256
143	210	1249
144	210	1243
145	211	1237
146	215	1248
147	216	1244
148	216	1239
149	217	1234
150	218	1230
151	219	1226
152	220	1222
153	221	1216
154	223	1216
155	224	1216
156	226	1215
157	227	1212
158	228	1208
159	229	1205
160	230	1201
161	232	1201
162	234	1203
163	235	1198
164	236	1194
165	238	1195
166	239	1192
167	239	1187
168	240	1182
169	241	1178
170	242	1175
171	243	1173
172	244	1169
173	245	1164
174	246	1159
175	246	1155
176	247	1150
177	248	1146
178	249	1142
179	249	1138
180	250	1133
181	251	1128
182	251	1123
183	252	1119
184	252	1114
185	255	1116
186	255	1112
187	256	1108
188	257	1103
189	257	1099
190	258	1095
191	260	1095
192	261	1093
193	262	1090
194	263	1087
195	264	1086
196	267	1091
197	268	1089
198	269	1085
199	270	1082
200	271	1080
201	273	1081
202	274	1078
203	279	1091
204	284	1101
205	285	1098
206	285	1095
207	286	1092
208	287	1088
209	288	1085
210	291	1089
211	292	1086
212	294	1087
213	295	1086
214	296	1083
215	300	1089
216	302	1091
217	304	1094
218	306	1094
219	307	1091
220	308	1088
221	309	1084
222	311	1084
223	314	1089
224	315	1086
225	316	1083
226	317	1081
227	324	1099
228	326	1099
229	332	1112
230	333	1110
231	342	1133
232	343	1132
233	345	1130
234	346	1127
235	348	1127
236	349	1123
237	349	1119
238	350	1115
239	353	1117
240	354	1117
241	355	1114
242	356	1111
243	358	1111
244	360	1110
245	367	1127
246	373	1139
247	377	1143
248	379	1145
249	381	1144
250	382	1142
251	386	1147
252	392	1158
253	394	1157
254	395	1155
255	396	1152
256	397	1148
257	398	1146
258	399	1143
259	402	1144
260	406	1152
261	408	1151
262	421	1180
263	426	1187
264	431	1196
265	435	1201
266	446	1224
267	451	1233
268	459	1247
269	461	1249
270	463	1246
271	464	1244
272	465	1240
273	469	1243
274	470	1241
275	471	1238
276	474	1237
277	479	1245
278	481	1244
279	492	1265
280	494	1264
281	497	1267
282	503	1275
283	505	1275
284	506	1271
285	507	1268
286	509	1264
287	510	1262
288	511	1258
289	512	1254
290	514	1253
291	515	1249
292	517	1248
293	518	1245
294	519	1241
295	520	1237
296	521	1234
297	522	1231
298	524	1228
299	525	1225
300	527	1225
301	531	1229
302	533	1227
303	535	1227
304	537	1223
305	537	1219
306	540	1218
307	544	1222
308	545	1220
309	551	1227
310	552	1224
311	553	1220
312	555	1218
313	556	1214
314	557	1211
315	557	1207
316	559	1204
317	559	1200
318	564	1206
319	566	1203
320	567	1201
321	569	1198
322	571	1197
323	573	1197
324	574	1193
325	576	1190
326	577	1188
327	581	1190
328	582	1187
329	583	1184
330	584	1181
331	585	1178
332	587	1177
333	595	1188
334	597	1185
335	599	1184
336	602	1185
337	603	1182
338	604	1179
339	606	1177
340	608	1176
341	609	1173
342	611	1170
343	612	1167
344	613	1164
345	614	1160
346	618	1163
347	619	1160
348	620	1157
349	621	1153
350	622	1150
351	627	1155
352	629	1153
353	630	1150
354	632	1149
355	634	1147
356	636	1147
357	638	1144
358	639	1141
359	641	1140
360	643	1139
361	644	1135
362	647	1135
363	649	1134
364	651	1132
365	652	1129
366	652	1126
367	653	1122
368	655	1120
369	656	1117
370	657	1114
371	658	1111
372	662	1112
373	667	1116
374	669	1115
375	670	1113
376	672	1111
377	673	1108
378	675	1106
379	676	1103
380	678	1101
381	684	1106
382	685	1104
383	687	1102
384	688	1099
385	689	1096
386	691	1094
387	692	1091
388	693	1089
389	695	1088
390	698	1088
391	699	1084
392	700	1082
393	705	1085
394	714	1093
395	720	1098
396	722	1097
397	724	1095
398	725	1093
399	730	1095
400	731	1092
401	733	1090
402	734	1087
403	735	1085
404	737	1082
405	737	1079
406	738	1075
407	739	1072
408	741	1071
409	743	1070
410	745	1068
411	747	1066
412	748	1063
413	749	1061
414	760	1071
415	761	1069
416	762	1065
417	763	1062
418	769	1067
419	773	1068
420	775	1066
421	777	1064
422	781	1066
423	786	1068
424	789	1068
425	792	1067
426	794	1066
427	797	1065
428	798	1062
429	799	1059
430	801	1057
431	803	1056
432	804	1053
433	805	1050
434	806	1047
435	814	1053
436	825	1063
437	829	1063
438	833	1065
439	836	1065
440	840	1065
441	841	1062
442	842	1059
443	843	1055
444	844	1052
445	844	1049
446	845	1046
447	847	1043
448	849	1042
449	850	1039
450	852	1037
451	854	1035
452	856	1033
453	857	1031
454	859	1029
455	860	1027
456	862	1025
457	868	1027
458	869	1025
459	875	1028
460	878	1026
461	879	1024
462	882	1023
463	883	1020
464	887	1020
465	888	1018
466	899	1026
467	902	1025
468	903	1023
469	906	1022
470	907	1019
471	908	1016
472	910	1014
473	912	1012
474	913	1010
475	914	1007
476	919	1008
477	922	1007
478	923	1004
479	925	1002
480	928	1002
481	930	999
482	931	997
483	932	994
484	933	991
485	934	987
486	934	984
487	935	981
488	936	978
489	936	975
490	938	972
491	938	969
492	939	966
493	940	963
494	941	960
495	941	957
496	942	953
497	943	950
498	944	947
499	945	945
500	946	942
501	946	939
502	947	936
503	948	932
504	948	929
505	949	926
506	949	923
507	950	920
508	951	917
509	952	914
510	952	911
511	953	908
512	954	905
513	954	902
514	955	900
515	956	897
516	957	894
517	957	891
518	958	888
519	959	885
520	959	882
521	960	879
522	961	877
523	962	874
524	963	871
525	963	868
526	964	865
527	964	862
528	965	859
529	965	856
530	966	853
531	967	850
532	968	848
533	968	845
534	969	842
535	970	839
536	970	836
537	971	834
538	971	831
539	972	828
540	973	825
541	974	823
542	975	820
543	975	817
544	976	814
545	976	812
546	977	809
547	977	806
548	978	803
549	978	800
550	979	797
551	979	795
552	980	792
553	981	789
554	981	787
555	982	784
556	982	781
557	983	778
558	984	776
559	984	773
560	985	770
561	985	768
562	986	765
563	987	763
564	988	761
565	989	758
566	990	756
567	990	753
568	991	751
569	992	748
570	993	746
571	994	743
572	994	741
573	995	739
574	996	736
575	997	734
576	997	731
577	998	729
578	999	726
579	999	724
580	1000	721
581	1001	718
582	1001	716
583	1002	713
584	1002	711
585	1003	708
586	1003	706
587	1004	703
588	1005	701
589	1005	698
590	1006	696
591	1006	693
592	1007	691
593	1008	689
594	1008	686
595	1009	684
596	1009	681
597	1010	679
598	1010	676
599	1011	674
600	1012	671
601	1012	669
602	1013	667
603	1013	664
604	1014	662
605	1014	659
606	1015	657
607	1015	654
608	1016	652
609	1016	650
610	1017	647
611	1018	645
612	1018	643
613	1019	640
614	1019	638
615	1020	635
616	1020	633
617	1021	631
618	1021	628
619	1022	626
620	1022	624
621	1023	622
622	1024	619
623	1024	617
624	1025	615
625	1025	612
626	1026	610
627	1026	608
628	1027	605
629	1027	603
630	1028	601
631	1028	599
632	1029	596
633	1030	594
634	1030	592
635	1031	590
636	1032	588
637	1032	585
638	1033	583
639	1033	581
640	1034	579
641	1034	577
642	1035	574
643	1036	572
644	1036	570
645	1037	568
646	1037	566
647	1038	564
648	1039	561
649	1039	559
650	1040	557
651	1040	555
652	1041	553
653	1041	551
654	1042	549
655	1043	547
656	1043	544
657	1044	542
658	1044	540
659	1045	538
660	1045	536
661	1046	534
662	1047	532
663	1047	530
664	1048	528
665	1048	526
666	1049	523
667	1050	521
668	1050	519
669	1051	517
670	1051	515
671	1052	513
672	1052	511
673	1053	509
674	1053	507
675	1054	505
676	1054	503
677	1055	501
678	1056	499
679	1056	497
680	1057	495
681	1057	493
682	1058	491
683	1058	489
684	1059	487
685	1059	485
686	1060	483
687	1061	481
688	1062	479
689	1062	477
690	1063	475
691	1064	473
692	1064	471
693	1065	469
694	1065	467
695	1066	465
696	1067	463
697	1067	462
698	1068	460
699	1068	458
700	1069	456
701	1069	454
702	1070	452
703	1070	450
704	1071	448
705	1072	446
706	1072	444
707	1073	442
708	1074	440
709	1075	439
710	1075	437
711	1076	435
712	1076	433
713	1077	431
714	1077	429
715	1078	427
716	1078	425
717	1079	424
718	1080	422
719	1080	420
720	1081	418
721	1081	416
722	1082	414
723	1082	412
724	1083	410
